,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageYrBlt,GarageCars,GarageArea,SalePrice,ExterQual_TA,Foundation_PConc,BsmtQual_Ex,KitchenQual_Ex,KitchenQual_TA
0,7,2003,2003,856,856,1710,2,8,2003.0,2,548,208500,False,True,False,False,False
1,6,1976,1976,1262,1262,1262,2,6,1976.0,2,460,181500,True,False,False,False,True
2,7,2001,2002,920,920,1786,2,6,2001.0,2,608,223500,False,True,False,False,False
3,7,1915,1970,756,961,1717,1,7,1998.0,3,642,140000,True,False,False,False,False
4,8,2000,2000,1145,1145,2198,2,9,2000.0,3,836,250000,False,True,False,False,False
5,5,1993,1995,796,796,1362,1,5,1993.0,2,480,143000,True,False,False,False,True
6,8,2004,2005,1686,1694,1694,2,7,2004.0,2,636,307000,False,True,True,False,False
7,7,1973,1973,1107,1107,2090,2,7,1973.0,2,484,200000,True,False,False,False,True
8,7,1931,1950,952,1022,1774,2,8,1931.0,2,468,129900,True,False,False,False,True
9,5,1939,1950,991,1077,1077,1,5,1939.0,1,205,118000,True,False,False,False,True
10,5,1965,1965,1040,1040,1040,1,5,1965.0,1,384,129500,True,False,False,False,True
11,9,2005,2006,1175,1182,2324,3,11,2005.0,3,736,345000,False,True,True,True,False
12,5,1962,1962,912,912,912,1,4,1962.0,1,352,144000,True,False,False,False,True
13,7,2006,2007,1494,1494,1494,2,7,2006.0,3,840,279500,False,True,False,False,False
14,6,1960,1960,1253,1253,1253,1,5,1960.0,1,352,157000,True,False,False,False,True
15,7,1929,2001,832,854,854,1,5,1991.0,2,576,132000,True,False,False,False,True
16,6,1970,1970,1004,1004,1004,1,5,1970.0,2,480,149000,True,False,False,False,True
17,4,1967,1967,0,1296,1296,2,6,1967.0,2,516,90000,True,False,False,False,True
18,5,2004,2004,1114,1114,1114,1,6,2004.0,2,576,159000,True,True,False,False,False
19,5,1958,1965,1029,1339,1339,1,6,1958.0,1,294,139000,True,False,False,False,True
